epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,157.53,0.66963,1.43979,0.86053,0.55305,0.57247,0.66479,0.55541,0.66543,1.91749,0.8202,0.000496316,0.000496316,0.000496316
65,159.909,0.79232,1.62872,0.86868,0.55305,0.57247,0.66479,0.55541,0.66543,1.91749,0.8202,0.000494861,0.000494861,0.000494861
66,162.367,0.6925,1.34999,0.86883,0.52809,0.68072,0.67049,0.57507,0.65177,1.88203,0.81029,0.000493405,0.000493405,0.000493405
67,164.782,0.75955,1.36301,0.89157,0.52809,0.68072,0.67049,0.57507,0.65177,1.88203,0.81029,0.00049195,0.00049195,0.00049195
68,167.408,0.70008,1.47876,0.89132,0.50664,0.6775,0.67946,0.59026,0.64213,1.81732,0.81493,0.000490495,0.000490495,0.000490495
69,169.869,0.73702,1.50063,0.87537,0.50664,0.6775,0.67946,0.59026,0.64213,1.81732,0.81493,0.00048904,0.00048904,0.00048904
70,172.366,0.69608,1.45011,0.86402,0.58303,0.65748,0.68215,0.62093,0.64333,1.73555,0.81678,0.000487584,0.000487584,0.000487584
71,174.783,0.71765,1.42315,0.85914,0.58303,0.65748,0.68215,0.62093,0.64333,1.73555,0.81678,0.000486129,0.000486129,0.000486129
72,177.204,0.62347,1.25297,0.84657,0.65472,0.6,0.68872,0.6135,0.59923,1.59967,0.81401,0.000484674,0.000484674,0.000484674
73,179.695,0.7101,1.39689,0.89189,0.65472,0.6,0.68872,0.6135,0.59923,1.59967,0.81401,0.000483218,0.000483218,0.000483218
74,182.079,0.61905,1.25616,0.82241,0.61128,0.63333,0.71199,0.64504,0.58441,1.51794,0.82197,0.000481763,0.000481763,0.000481763
75,184.456,0.6739,1.25308,0.85362,0.61128,0.63333,0.71199,0.64504,0.58441,1.51794,0.82197,0.000480308,0.000480308,0.000480308
76,186.875,0.62783,1.31526,0.83668,0.63561,0.63333,0.71814,0.65109,0.60634,1.46987,0.83063,0.000478852,0.000478852,0.000478852
77,189.255,0.67366,1.3037,0.8594,0.63561,0.63333,0.71814,0.65109,0.60634,1.46987,0.83063,0.000477397,0.000477397,0.000477397
78,191.673,0.64616,1.32243,0.85769,0.60882,0.65089,0.73877,0.66172,0.62046,1.41616,0.84112,0.000475942,0.000475942,0.000475942
79,194.084,0.7027,1.23096,0.82323,0.60882,0.65089,0.73877,0.66172,0.62046,1.41616,0.84112,0.000474487,0.000474487,0.000474487
80,196.561,0.63613,1.26895,0.87235,0.75009,0.58868,0.76071,0.67871,0.5983,1.37486,0.83724,0.000473031,0.000473031,0.000473031
81,198.994,0.58363,1.19371,0.86905,0.75009,0.58868,0.76071,0.67871,0.5983,1.37486,0.83724,0.000471576,0.000471576,0.000471576
82,201.431,0.63904,1.14343,0.88544,0.75599,0.59429,0.75876,0.67447,0.58656,1.34074,0.83523,0.000470121,0.000470121,0.000470121
83,203.863,0.60789,1.12126,0.86401,0.75599,0.59429,0.75876,0.67447,0.58656,1.34074,0.83523,0.000468665,0.000468665,0.000468665
84,206.243,0.63726,1.18014,0.87352,0.83518,0.59826,0.76433,0.67041,0.58713,1.32256,0.84217,0.00046721,0.00046721,0.00046721
85,208.814,0.62906,1.09148,0.84367,0.83518,0.59826,0.76433,0.67041,0.58713,1.32256,0.84217,0.000465755,0.000465755,0.000465755
86,211.344,0.60556,1.15984,0.86142,0.85099,0.59313,0.73618,0.63901,0.59332,1.31504,0.84848,0.0004643,0.0004643,0.0004643
87,213.771,0.57742,1.01604,0.84466,0.85099,0.59313,0.73618,0.63901,0.59332,1.31504,0.84848,0.000462844,0.000462844,0.000462844
88,216.189,0.65772,1.17666,0.8872,0.88083,0.62281,0.77449,0.66286,0.57161,1.30413,0.84817,0.000461389,0.000461389,0.000461389
89,218.592,0.63316,1.08303,0.86541,0.88083,0.62281,0.77449,0.66286,0.57161,1.30413,0.84817,0.000459934,0.000459934,0.000459934
90,221.065,0.63634,1.0855,0.87847,0.62511,0.69343,0.76288,0.6647,0.54626,1.29578,0.84214,0.000458478,0.000458478,0.000458478
91,223.375,0.58662,1.10233,0.84737,0.62511,0.69343,0.76288,0.6647,0.54626,1.29578,0.84214,0.000457023,0.000457023,0.000457023
92,225.853,0.66963,1.14761,0.88193,0.60542,0.69313,0.74206,0.65788,0.55206,1.29395,0.83872,0.000455568,0.000455568,0.000455568
93,228.335,0.58488,1.09265,0.83572,0.60542,0.69313,0.74206,0.65788,0.55206,1.29395,0.83872,0.000454112,0.000454112,0.000454112
94,230.713,0.61349,1.08567,0.86883,0.63781,0.71897,0.74893,0.65916,0.54571,1.28897,0.83673,0.000452657,0.000452657,0.000452657
95,233.143,0.57269,1.04369,0.85153,0.63781,0.71897,0.74893,0.65916,0.54571,1.28897,0.83673,0.000451202,0.000451202,0.000451202
96,235.584,0.55844,1.03067,0.87981,0.63627,0.71834,0.74655,0.63812,0.52567,1.24597,0.83614,0.000449746,0.000449746,0.000449746
97,237.911,0.68027,1.08115,0.86008,0.63627,0.71834,0.74655,0.63812,0.52567,1.24597,0.83614,0.000448291,0.000448291,0.000448291
98,240.289,0.57169,1.02795,0.83736,0.6311,0.7261,0.74544,0.65103,0.53239,1.22395,0.83493,0.000446836,0.000446836,0.000446836
99,242.536,0.58973,0.97085,0.83356,0.6311,0.7261,0.74544,0.65103,0.53239,1.22395,0.83493,0.000445381,0.000445381,0.000445381
100,244.903,0.56152,0.94711,0.86203,0.61065,0.65526,0.75304,0.66124,0.53703,1.18399,0.83143,0.000443925,0.000443925,0.000443925
101,247.284,0.5853,1.0493,0.85185,0.61065,0.65526,0.75304,0.66124,0.53703,1.18399,0.83143,0.00044247,0.00044247,0.00044247
102,249.707,0.59828,0.96676,0.84544,0.54215,0.65,0.75297,0.6598,0.53664,1.18049,0.8287,0.000441015,0.000441015,0.000441015
103,252.085,0.61457,1.02986,0.83305,0.54215,0.65,0.75297,0.6598,0.53664,1.18049,0.8287,0.000439559,0.000439559,0.000439559
104,254.521,0.54489,0.95541,0.83924,0.38093,0.82035,0.74964,0.65652,0.54465,1.17675,0.82943,0.000438104,0.000438104,0.000438104
105,256.944,0.5917,0.97775,0.82787,0.38093,0.82035,0.74964,0.65652,0.54465,1.17675,0.82943,0.000436649,0.000436649,0.000436649
106,259.356,0.62203,1.05957,0.84631,0.42355,0.65,0.74964,0.67059,0.54717,1.15353,0.82971,0.000435194,0.000435194,0.000435194
107,261.688,0.54884,0.91329,0.85814,0.42355,0.65,0.74964,0.67059,0.54717,1.15353,0.82971,0.000433738,0.000433738,0.000433738
108,264.029,0.62349,1.07436,0.81389,0.91521,0.55,0.74964,0.66382,0.55277,1.12085,0.83242,0.000432283,0.000432283,0.000432283
109,266.412,0.55127,0.92671,0.8706,0.91521,0.55,0.74964,0.66382,0.55277,1.12085,0.83242,0.000430828,0.000430828,0.000430828
110,268.924,0.60494,1.00866,0.84926,0.82976,0.65,0.78499,0.69084,0.56132,1.06321,0.8356,0.000429372,0.000429372,0.000429372
111,271.397,0.58551,0.95658,0.86104,0.82976,0.65,0.78499,0.69084,0.56132,1.06321,0.8356,0.000427917,0.000427917,0.000427917
