epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,121.065,0.94502,1.90948,0.90264,0.6473,0.66667,0.80778,0.67448,0.7978,1.95199,0.89577,0.000717546,0.000717546,0.000717546
58,123.26,0.8087,1.40546,0.90598,0.72499,0.66054,0.80778,0.70149,0.72155,1.70591,0.89131,0.000715485,0.000715485,0.000715485
59,125.39,0.86141,1.4087,0.9428,0.72499,0.66054,0.80778,0.70149,0.72155,1.70591,0.89131,0.000713423,0.000713423,0.000713423
60,127.506,1.01284,1.63788,0.92947,0.60544,0.69904,0.81075,0.71527,0.65387,1.76032,0.8679,0.000711361,0.000711361,0.000711361
61,129.616,0.74131,1.35054,0.86941,0.60544,0.69904,0.81075,0.71527,0.65387,1.76032,0.8679,0.000709299,0.000709299,0.000709299
62,131.796,0.86365,1.43932,0.87313,0.62338,0.75815,0.87556,0.73052,0.6903,1.73513,0.86558,0.000707238,0.000707238,0.000707238
63,133.869,0.76958,1.87427,0.87246,0.62338,0.75815,0.87556,0.73052,0.6903,1.73513,0.86558,0.000705176,0.000705176,0.000705176
64,136.053,0.75817,1.65695,0.90851,0.72706,0.60947,0.91167,0.74664,0.76116,1.65524,0.86639,0.000703114,0.000703114,0.000703114
65,138.251,0.91313,1.30133,0.91461,0.72706,0.60947,0.91167,0.74664,0.76116,1.65524,0.86639,0.000701053,0.000701053,0.000701053
66,140.376,0.85437,1.46426,0.87239,0.8536,0.64199,0.88431,0.70874,0.74682,1.665,0.8589,0.000698991,0.000698991,0.000698991
67,142.399,0.7312,1.18671,0.95591,0.8536,0.64199,0.88431,0.70874,0.74682,1.665,0.8589,0.000696929,0.000696929,0.000696929
68,144.504,0.79111,1.39987,0.89803,0.85829,0.65328,0.86772,0.73894,0.678,1.65512,0.84678,0.000694868,0.000694868,0.000694868
69,146.551,0.73406,1.30412,0.91101,0.85829,0.65328,0.86772,0.73894,0.678,1.65512,0.84678,0.000692806,0.000692806,0.000692806
70,148.715,0.81437,1.24992,0.83266,0.67118,0.81493,0.85681,0.7483,0.64506,1.51463,0.83679,0.000690744,0.000690744,0.000690744
71,150.859,0.80466,1.64737,0.93937,0.67118,0.81493,0.85681,0.7483,0.64506,1.51463,0.83679,0.000688683,0.000688683,0.000688683
72,153.021,0.89174,1.23475,0.9286,0.72169,0.81558,0.81514,0.68248,0.63047,1.26738,0.83877,0.000686621,0.000686621,0.000686621
73,155.12,0.88259,1.15285,0.90763,0.72169,0.81558,0.81514,0.68248,0.63047,1.26738,0.83877,0.000684559,0.000684559,0.000684559
